episode_length,episode_return,is_terminal_step,percent_collected
501,17.049873,False,2.5396826
501,42.30021,False,2.2222223
501,37.79989,False,2.2222223
501,26.149899,False,1.904762
501,38.849976,False,1.904762
501,41.150307,False,2.5396826
501,28.600079,False,2.2222223
501,39.70014,False,2.2222223
501,53.700386,False,2.5396826
501,50.150436,False,2.2222223
501,41.35032,False,2.5396826
501,39.600105,False,1.904762
501,24.699875,False,2.5396826
501,42.150246,False,1.5873016
501,39.800022,False,1.904762
501,41.15029,False,1.904762
501,27.349907,False,2.2222223
501,53.8004,False,2.2222223
501,39.60009,False,1.904762
501,42.15016,False,1.904762
501,52.400307,False,2.2222223
501,54.65029,False,2.5396826
501,41.000473,False,2.2222223
501,38.650246,False,2.5396826
501,65.85047,False,0.952381
501,39.900093,False,1.904762
501,38.500023,False,2.5396826
501,16.149887,False,2.5396826
501,52.250427,False,2.5396826
501,27.249895,False,2.2222223
501,52.25029,False,2.2222223
501,39.850075,False,1.904762
501,51.350494,False,1.904762
501,26.199892,False,2.2222223
501,42.300377,False,2.5396826
501,39.79996,False,2.5396826
501,42.250244,False,1.5873016
501,39.75006,False,2.5396826
501,39.800156,False,1.904762
501,16.699867,False,1.904762
501,64.55038,False,1.5873016
501,27.199928,False,2.2222223
501,16.949926,False,1.904762
501,54.600418,False,2.2222223
501,54.450493,False,2.2222223
501,28.79988,False,2.5396826
501,39.40017,False,1.904762
501,29.849909,False,1.904762
501,38.74997,False,1.904762
501,42.20044,False,2.2222223
501,39.85007,False,2.2222223
501,42.1503,False,2.2222223
501,38.600212,False,2.2222223
501,38.49998,False,1.904762
501,38.649963,False,1.5873016
501,52.300476,False,1.904762
501,29.54994,False,2.857143
501,39.55037,False,1.904762
501,41.35035,False,1.904762
501,29.749912,False,1.904762
501,40.200233,False,1.904762
501,42.300217,False,2.2222223
501,54.30049,False,2.5396826
501,39.80008,False,2.5396826
501,39.750004,False,1.904762
501,52.200333,False,2.5396826
501,27.64992,False,2.5396826
501,38.800056,False,2.5396826
501,51.30046,False,1.904762
501,52.10048,False,2.2222223
501,41.850105,False,2.2222223
501,53.150322,False,1.904762
501,52.40055,False,1.904762
501,39.450073,False,2.2222223
501,50.250282,False,2.2222223
501,29.649912,False,2.2222223
501,29.599901,False,2.5396826
501,28.699883,False,2.2222223
501,39.800064,False,2.5396826
501,26.299921,False,1.904762
501,41.7004,False,2.5396826
501,41.200188,False,2.2222223
501,28.599915,False,2.2222223
501,40.25022,False,1.904762
501,29.749907,False,1.904762
501,52.20044,False,2.5396826
501,29.649933,False,1.904762
501,67.00049,False,2.2222223
501,41.750282,False,2.2222223
501,42.30024,False,1.904762
501,23.2999,False,1.904762
501,63.500298,False,1.5873016
501,28.399942,False,1.904762
501,52.350266,False,1.904762
501,26.349878,False,2.2222223
501,39.850174,False,2.2222223
501,63.850273,False,1.2698413
501,51.900383,False,1.904762
501,42.100266,False,2.2222223
501,27.099897,False,2.5396826
501,39.899956,False,1.904762
501,29.69992,False,2.2222223
501,52.35032,False,2.2222223
501,52.250473,False,1.904762
501,64.750496,False,1.904762
501,42.20031,False,1.904762
501,42.1502,False,2.5396826
501,53.750427,False,1.904762
501,52.150368,False,1.5873016
501,42.100143,False,1.904762
501,42.350204,False,1.5873016
501,53.600433,False,2.5396826
501,54.100327,False,1.904762
501,42.20025,False,2.5396826
501,26.29992,False,2.5396826
501,51.30021,False,2.5396826
501,52.30033,False,2.5396826
501,52.300438,False,2.5396826
501,42.30021,False,2.857143
501,28.849905,False,2.2222223
501,42.000336,False,1.904762
501,42.30043,False,1.904762
501,17.299944,False,2.2222223
501,39.65006,False,2.5396826
501,40.050156,False,2.5396826
501,41.85016,False,1.904762
501,39.850006,False,2.2222223
501,39.75023,False,1.904762
501,37.350063,False,2.857143
501,52.1503,False,2.5396826
501,54.25048,False,1.5873016
501,41.35025,False,2.2222223
501,50.750328,False,1.904762
501,38.750237,False,1.904762
501,41.90004,False,2.2222223
501,39.750076,False,1.904762
501,38.39998,False,2.2222223
501,29.749912,False,1.904762
501,39.700096,False,1.904762
501,29.599882,False,1.904762
501,53.500305,False,2.2222223
501,42.200203,False,1.904762
501,39.65013,False,2.5396826
501,27.099945,False,1.904762
501,29.74994,False,2.2222223
501,39.500153,False,1.904762
501,27.249868,False,2.2222223
501,39.75022,False,2.2222223
501,52.200424,False,1.904762
501,37.799953,False,1.904762
501,26.14991,False,2.2222223
501,29.799978,False,1.904762
501,42.150322,False,2.2222223
501,42.250076,False,2.2222223
501,50.200188,False,0.31746033
501,51.95047,False,2.2222223
501,40.900215,False,2.5396826
501,29.499887,False,2.2222223
501,53.65046,False,1.904762
501,29.499905,False,2.2222223
501,41.950073,False,2.5396826
501,52.250275,False,1.904762
501,53.50035,False,2.5396826
501,15.949892,False,2.2222223
